imageid,count,lon,lat,t
23661689,0,-8235439.40616699,4970574.7402313,2016-11-14 08:13:30
3398503,0,-8236859.07476502,4971716.42153092,2016-05-19 17:35:52
1755413,1,-8237891.00644468,4975642.69019412,2016-06-28 14:08:44
29623395,2,-8236372.0297289,4970921.04935814,2016-12-13 13:41:00
35581670,0,-8232981.88369239,4978411.01971321,2017-01-16 09:50:38
6935579,1,-8233975.53259916,4981212.31873519,2016-08-08 11:57:02
27142647,8,-8238515.59784362,4970397.98469197,2016-12-02 12:58:28
32671175,0,-8235015.67965723,4981161.96135213,2017-01-02 12:15:24
31621503,1,-8238306.09456195,4968944.24569086,2016-12-26 10:41:38
5216011,0,-8235890.57293122,4972072.03996566,2016-07-21 12:09:20
30207647,0,-8230352.09430579,4985410.64143321,2016-12-15 12:35:38
28428064,0,-8235579.16778768,4979951.3304183,2016-12-08 13:38:10
5530535,1,-8235096.35289221,4975211.34144501,2016-07-18 09:52:52
20047953,0,-8236672.16933998,4971898.16575908,2016-10-24 08:45:54
20121176,0,-8238679.66050915,4973787.75385245,2016-10-24 14:00:42
19338896,0,-8237164.23488513,4970586.21072611,2016-10-20 14:41:18
14063419,3,-8235471.55523593,4980436.41748173,2016-09-20 16:09:06
22436154,1,-8234399.29250476,4980946.08182678,2016-11-07 13:19:32
21375202,1,-8235470.77599949,4974439.29603175,2016-11-01 20:03:28
43394673,0,-8232266.03257489,4978762.20751921,2017-03-06 09:48:58
8853439,0,-8231917.31313803,4982626.25424187,2016-08-30 11:57:18
14687120,2,-8235850.83187301,4979259.05429616,2016-09-23 08:59:34
27836598,0,-8238335.29366438,4974749.31759704,2016-12-06 14:23:00
6347703,0,-8236874.4257228,4971152.61435438,2016-08-03 12:20:42
28572604,0,-8235689.70804204,4971304.51668574,2016-12-07 12:48:26
8422776,2,-8236481.36773276,4975854.23510582,2016-08-24 11:49:54
23033304,0,-8234897.97042767,4976758.71620238,2016-11-10 14:26:12
38148563,0,-8237306.95760428,4970365.7769017,2017-01-31 11:36:40
25264632,0,-8237047.31602395,4974183.89560669,2016-11-23 14:17:18
37931845,0,-8237964.03203064,4971164.27646868,2017-02-02 08:01:52
42227130,0,-8233855.41886859,4981755.35691003,2017-02-27 12:04:04
409713,0,-8235540.89614674,4971409.65410416,2016-07-12 09:09:20
28927224,0,-8238688.6773879,4971794.65353889,2016-12-09 09:36:36
871464,0,-8236553.83672127,4971897.24035762,2016-07-08 08:58:20
31955123,3,-8236680.26226696,4974406.26682576,2016-12-28 12:22:30
1191347,0,-8235386.21771429,4970861.82976022,2016-07-05 15:21:08
36346936,0,-8231842.53983607,4986254.562253,2017-01-23 13:48:32
24315491,0,-8237100.84956708,4974806.48899865,2016-11-17 13:21:06
26106192,0,-8234477.48331509,4981028.43100292,2016-11-25 15:57:26
20683543,0,-8237334.5871019,4974531.40520349,2016-10-28 14:17:30
3154377,0,-8234907.16541761,4974984.92587123,2016-07-26 11:42:40
44678988,1,-8235463.65155208,4980421.81864979,2017-03-10 14:13:16
5242119,0,-8237857.66625718,4971062.91641628,2016-07-21 16:56:38
2909849,0,-8234683.001359,4975536.65495689,2016-06-06 17:26:40
8370725,0,-8233490.34659853,4977599.52314737,2016-08-25 09:39:50
43548055,0,-8236319.25315832,4979513.98472357,2017-02-24 11:24:24
8455396,0,-8235419.76940881,4980824.02224743,2016-08-24 16:14:56
23014770,0,-8232764.0982406,4978720.858659,2016-11-11 09:24:02
601270,0,-8238536.85986636,4970350.03286773,2016-07-06 13:01:58
36174743,0,-8233891.68675869,4981758.16532503,2017-01-19 10:06:56
9964379,0,-8234477.36086365,4980148.89948945,2016-09-02 19:35:00
37903774,0,-8232377.22961425,4980034.83259628,2017-02-01 10:25:42
29684150,0,-8235479.91532969,4975457.95216284,2016-12-13 12:12:12
23040888,0,-8233295.86031617,4979637.54208515,2016-11-11 12:01:38
5714176,0,-8239000.33856628,4968414.12110972,2016-07-26 17:53:18
6757294,0,-8234567.09550518,4974886.25916422,2016-08-05 16:52:04
35800394,0,-8239312.09993219,4970525.97976338,2017-01-19 08:41:28
22204282,0,-8236784.14561577,4974604.19395555,2016-11-02 15:43:22
27068926,0,-8236632.65092075,4977100.98247216,2016-12-02 11:59:10
11421930,0,-8232314.41202559,4982857.83216533,2016-09-12 09:46:50
26139539,0,-8238145.56072427,4971943.8483845,2016-11-28 10:18:22
17694112,3,-8234597.09610795,4982024.17440961,2016-10-07 13:07:32
35752189,0,-8233123.53774442,4982745.29237269,2017-01-19 09:58:44
38200343,0,-8235560.33252984,4978315.0376323,2017-02-03 13:02:28
40155345,0,-8236900.88636576,4976826.51010178,2017-02-14 11:19:30
